"incident_id","location","province","national"
1,"Burnaby","British Columbia",NA
2,"Windsor","Ontario",NA
3,"Ottawa","Ontario",NA
4,"Calgary","Alberta",NA
5,"Tignish","Prince Edward Island",NA
6,NA,"New Brunswick",NA
7,"Toronto","Ontario",NA
8,NA,"Nova Scotia",NA
9,"Toronto","Ontario",NA
10,"Ottawa","Ontario",NA
11,"Fredericton","New Brunswick",NA
12,"Ottawa","Ontario",NA
13,"Calgary","Alberta",NA
14,NA,"Saskatchewan",NA
15,"Montreal","Quebec",NA
16,"Timmins","British Columbia",NA
17,"Regina","Saskatchewan",NA
18,"Ajax ","Ontario",NA
19,"Toronto","Ontario",NA
20,NA,"Saskatchewan",NA
21,"Montreal","Quebec",NA
22,NA,NA,"True"
23,NA,"New Brunswick",NA
24,"Ottawa","Ontario",NA
25,"Labrador","Newfoundland Labrador",NA
26,"Ottawa","Ontario",NA
27,"Fort McMurray","Alberta",NA
28,"Halifax","Nova Scotia",NA
29,"Montreal","Quebec",NA
30,"Toronto","Ontario",NA
31,"Ottawa","Ontario",NA
32,"Winnipeg","Manitoba",NA
33,"Toronto","Ontario",NA
34,"Thunder Bay","Ontario",NA
35,"Thunder Bay","Ontario",NA
36,"Toronto","Ontario",NA
37,NA,"British Columbia",NA
38,NA,"Nova Scotia",NA
39,"Ottawa","Ontario",NA
40,"Ottawa","Ontario",NA
41,NA,"Nova Scotia",NA
42,"Thunder Bay","Ontario",NA
43,"Kelowna","British Columbia",NA
44,"Kamloops","British Columbia",NA
45,"Toronto","Ontario",NA
46,"Winnipeg","Manitoba",NA
47,"Toronto","Ontario",NA
48,"Ottawa","Ontario",NA
49,"Vaughan","Ontario",NA
50,NA,"Prince Edward Island",NA
51,"Regina","Saskatchewan",NA
52,"Ottawa","Ontario",NA
53,"Ottawa","Ontario",NA
54,"Halifax","Nova Scotia",NA
55,"Gatineau","Quebec",NA
56,"Ottawa","Ontario",NA
57,NA,"Yukon",NA
58,"Mississauga","Ontario",NA
59,"Halifax","Nova Scotia",NA
60,"Edmonton","Alberta",NA
61,"Thunder Bay","Ontario",NA
62,NA,"Ontario",NA
63,"Toronto","Ontario",NA
64,"Owen Sound","Ontario",NA
65,"Calgary","Alberta",NA
66,"Ottawa","Ontario",NA
67,"Halifax","Nova Scotia",NA
68,"Windsor","Ontario",NA
69,"Winnipeg","Manitoba",NA
70,"Winnipeg","Manitoba",NA
71,"Halifax","Nova Scotia",NA
72,"Edmonton","Alberta",NA
73,"Ottawa","Ontario",NA
74,"Calgary","Alberta",NA
75,"Montreal","Quebec",NA
76,"Ottawa","Ontario",NA
77,"Halifax","Nova Scotia",NA
78,"Ottawa","Ontario",NA
79,"Ottawa","Ontario",NA
80,"Saskatoon","Saskatchewan",NA
81,"Ottawa","Ontario",NA
82,NA,"Nova Scotia",NA
83,"Montreal","Quebec",NA
84,"Montreal","Quebec",NA
85,NA,"Ontario",NA
86,"Lethbridge","Alberta",NA
87,"Ottawa","Ontario",NA
88,"Lacolle","Quebec",NA
89,"Winnipeg","Manitoba",NA
90,"Montreal","Quebec",NA
91,"Ottawa","Ontario",NA
92,"Toronto","Ontario",NA
93,"Enderby","British Columbia",NA
94,"Montreal","Quebec",NA
95,"Toronto","Ontario",NA
96,"Toronto","Ontario",NA
97,"Montreal","Quebec",NA
98,"Toronto","Ontario",NA
99,"Saskatoon","Saskatchewan",NA
100,"Halifax","Nova Scotia",NA
101,"Ottawa","Ontario",NA
102,"Bridge River Lillooet","British Columbia",NA
103,"Calgary","Alberta",NA
104,"Ottawa","Ontario",NA
105,"Peel","Ontario",NA
106,"St. John's","Newfoundland Labrador",NA
107,"Fredericton","New Brunswick",NA
108,NA,"Quebec",NA
109,"Edson","Alberta",NA
110,"Kamloops","British Columbia",NA
111,"Montreal","Quebec",NA
112,"Montreal","Quebec",NA
113,"Vancouver","British Columbia",NA
114,"Red Deer","Alberta",NA
115,"Vancouver","British Columbia",NA
116,"Toronto","Ontario",NA
117,"Abbotsford","British Columbia",NA
118,"Montreal","Quebec",NA
119,"Sudbury","Ontario",NA
120,"Surrey","British Columbia",NA
121,"Mississauga","Ontario",NA
122,"London","Ontario",NA
123,NA,"Ontario",NA
124,"Ottawa","Ontario",NA
125,"Calgary","Alberta",NA
126,"Medicine Hat","Alberta",NA
127,"Charlottetown","Prince Edward Island",NA
128,"Thunder Bay","Ontario",NA
129,"Ottawa","Ontario",NA
130,"Ottawa","Ontario",NA
131,"Hamilton","Ontario",NA
132,"Halifax","Nova Scotia",NA
133,"Toronto","Ontario",NA
134,"London","Ontario",NA
135,"Montreal","Quebec",NA
136,"Mississauga","Ontario",NA
137,"Enerby","British Columbia",NA
138,"Peel","Ontario",NA
139,"Edmonton","Alberta",NA
140,"Flin Flon","Manitoba",NA
141,"Toronto","Ontario",NA
142,"Vancouver","British Columbia",NA
143,"Edmonton","Alberta",NA
144,"Victoria","British Columbia",NA
145,"Ottawa","Ontario",NA
146,"Calgary","Alberta",NA
147,"Ottawa","Ontario",NA
148,"Peterborough","Ontario",NA
149,"Toronto","Ontario",NA
150,"Halifax","Nova Scotia",NA
151,"Hamilton","Ontario",NA
152,"Cardston","Alberta",NA
153,"Ottawa","Ontario",NA
154,"Chilliwack","British Columbia",NA
155,"Toronto","Ontario",NA
156,"Nanaimo","Quebec",NA
157,"Peterborough","Ontario",NA
158,"Sabrevois","Quebec",NA
159,"Edmonton","Alberta",NA
160,"Village of Perdue","Saskatchewan",NA
161,"Dartmouth","Nova Scotia",NA
162,"Nunavut","Nunavut",NA
163,"Montreal","Quebec",NA
164,"Mississauga","Ontario",NA
165,"Statford","Ontario",NA
166,"Montreal","Quebec",NA
167,"Edmonton","Alberta",NA
168,"Edmonton","Alberta",NA
169,"Fraser River","British Columbia",NA
170,"Statford","Ontario",NA
171,"Ottawa","Ontario",NA
172,"Fort McMurray","Alberta",NA
173,"Fort McMurray","Alberta",NA
174,"Ottawa","Ontario",NA
175,"St. Paul","Alberta",NA
176,"M'Chigeeng","British Columbia",NA
177,"Kincardine","Ontario",NA
178,"Montreal","Quebec",NA
179,"Vancouver","British Columbia",NA
180,"Dartmouth","Nova Scotia",NA
181,NA,"Manitoba",NA
182,"Montreal","Quebec",NA
183,"Toronto","Ontario",NA
184,"Coquitlam","British Columbia",NA
185,"Keeseekoowenin Ojibway First Nation","Manitoba",NA
186,"Thompson","Manitoba",NA
187,"Toronto","Ontario",NA
188,"Montreal","Quebec",NA
189,"Edmonton","Alberta",NA
189,"Ottawa","Ontario",NA
190,"Kamloops","British Columbia",NA
191,"Nova Scotia's Pictou County","Nova Scotia",NA
192,NA,"Quebec",NA
