,location,province,national,complete_loc,latitude,longitude,pop
0,Burnaby,BC,,"Burnaby, BC, Canada",49.2433804,-122.9725459,
1,Windsor,ON,,"Windsor, ON, Canada",42.317099,-83.0353434,281545
2,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
3,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
4,Tignish,PE,,"Tignish, PE, Canada",46.9189808,-64.039147,
5,,NB,,"nan, NB, Canada",46.500283,-66.750183,
6,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
7,,NS,,"nan, NS, Canada",45.1960403,-63.1653789,
8,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
9,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
10,Fredericton,NB,,"Fredericton, NB, Canada",45.966425,-66.645813,51916
11,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
12,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
13,,SK,,"nan, SK, Canada",61.0666922,-107.9917071,
14,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
15,Timmins,BC,,"Timmins, BC, Canada",48.477473,-81.330414,
16,Regina,SK,,"Regina, SK, Canada",50.44876,-104.61731,175727
17,Ajax ,ON,,"Ajax , ON, Canada",43.850374,-79.024658,
18,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
19,,SK,,"nan, SK, Canada",61.0666922,-107.9917071,
20,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
21,,,TRUE,"nan, nan, Canada",61.0666922,-107.9917071,
22,,NB,,"nan, NB, Canada",46.500283,-66.750183,
23,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
24,Labrador,NL,,"Labrador, NL, Canada",55.9266344,-61.88499184,
25,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
26,Fort Mcmurray,AB,,"Fort Mcmurray, AB, Canada",56.7291997,-111.3885221,
27,Halifax,NS,,"Halifax, NS, Canada",44.648618,-63.5859487,263547
28,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
29,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
30,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
31,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
32,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
33,Thunder Bay,ON,,"Thunder Bay, ON, Canada",48.406414,-89.259796,98237
34,Thunder Bay,ON,,"Thunder Bay, ON, Canada",48.406414,-89.259796,98237
35,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
36,,BC,,"nan, BC, Canada",55.001251,-125.002441,
37,,NS,,"nan, NS, Canada",45.1960403,-63.1653789,
38,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
39,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
40,,NS,,"nan, NS, Canada",45.1960403,-63.1653789,
41,Thunder Bay,ON,,"Thunder Bay, ON, Canada",48.406414,-89.259796,98237
42,Kelowna,BC,,"Kelowna, BC, Canada",49.889326,-119.498291,129691
43,Kamloops,BC,,"Kamloops, BC, Canada",50.6758269,-120.3394159,68879
44,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
45,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
46,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
47,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
48,Vaughan,ON,,"Vaughan, ON, Canada",43.7941544,-79.5268023,
49,,PE,,"nan, PE, Canada",46.3355508,-63.1466676,
50,Regina,SK,,"Regina, SK, Canada",50.44876,-104.61731,175727
51,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
52,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
53,Halifax,NS,,"Halifax, NS, Canada",44.648618,-63.5859487,263547
54,Gatineau,QC,,"Gatineau, QC, Canada",45.4283596,-75.7106204,
55,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
56,,YT,,"nan, YT, Canada",63.000147,-136.002502,
57,Mississauga,ON,,"Mississauga, ON, Canada",43.590338,-79.645729,
58,Halifax,NS,,"Halifax, NS, Canada",44.648618,-63.5859487,263547
59,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
60,Thunder Bay,ON,,"Thunder Bay, ON, Canada",48.406414,-89.259796,98237
61,,ON,,"nan, ON, Canada",50.000678,-86.000977,
62,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
63,Owen Sound,ON,,"Owen Sound, ON, Canada",44.5668092,-80.9441252,22717
64,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
65,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
66,Halifax,NS,,"Halifax, NS, Canada",44.648618,-63.5859487,263547
67,Windsor,ON,,"Windsor, ON, Canada",42.317099,-83.0353434,281545
68,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
69,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
70,Halifax,NS,,"Halifax, NS, Canada",44.648618,-63.5859487,263547
71,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
72,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
73,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
74,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
75,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
76,Halifax,NS,,"Halifax, NS, Canada",44.648618,-63.5859487,263547
77,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
78,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
79,Saskatoon,SK,,"Saskatoon, SK, Canada",52.131802,-106.660767,199523
80,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
81,,NS,,"nan, NS, Canada",45.1960403,-63.1653789,
82,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
83,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
84,,ON,,"nan, ON, Canada",50.000678,-86.000977,
85,Lethbridge,AB,,"Lethbridge, AB, Canada",49.694285,-112.851562,71390
86,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
87,Lacolle,QC,,"Lacolle, QC, Canada",45.0796837,-73.3736934,1533
88,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
89,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
90,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
91,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
92,Enderby,BC,,"Enderby, BC, Canada",50.5504793,-119.1397789,2833
93,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
94,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
95,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
96,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
97,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
98,Saskatoon,SK,,"Saskatoon, SK, Canada",52.131802,-106.660767,199523
99,Halifax,NS,,"Halifax, NS, Canada",44.648618,-63.5859487,263547
