incident_id,city_or_region,province,national,detailed_location,article_url,needs_review,notes
1,Burnaby,British Columbia,,,https://globalnews.ca/news/3949365/b-c-woman-captures-racist-rant-against-her-on-viral-video/amp/?__twitter_impression=true,,
2,Windsor,Ontario,,,https://www.cbc.ca/news/canada/windsor/graffiti-widsor-muslim-windsor-1.4472166,,
3,Ottawa,Ontario,,,https://nationalpost.com/news/politics/sen-lynn-beyak-removed-from-tory-caucus-over-racist-post-on-website-scheer,,
4,Calgary,Alberta,,,https://www.cbc.ca/news/canada/calgary/judge-eidsvik-apology-remarks-racism-reaction-1.4478530,,
5,Tignish,Prince Edward Island,,,http://nationalpost.com/news/canada/p-e-i-legion-to-apologize-after-sikh-man-reportedly-asked-to-remove-headdress,,
6,,New Brunswick,,,https://www.cbc.ca/news/canada/new-brunswick/university-of-new-brunswick-racist-posters-1.4489872,,
7,Toronto,Ontario,,,https://www.ctvnews.ca/canada/swastikas-drawn-on-snowy-cars-in-toronto-police-investigating-1.3758393,,
8,,Nova Scotia,,,http://www.cbc.ca/news/canada/nova-scotia/petition-calls-for-acadia-professor-to-be-fired-twitter-1.4487142,,
9,Toronto,Ontario,,,https://www.rawstory.com/2018/01/hate-rag-editor-promotes-hitler-fan-club-in-new-issue-despite-lawsuits-mail-ban-and-hate-speech-charge/,,
10,Ottawa,Ontario,,,http://www.wnd.com/2018/01/journalist-i-was-fired-for-criticizing-islam/,,
11,Fredericton,New Brunswick,,,http://www.huffingtonpost.ca/2018/02/01/the-baron-editor-in-chief-anna-de-luca-fired-over-articles-featuring-white-nationalist_a_23350313/,,
12,Ottawa,Ontario,,,https://www.ctvnews.ca/canada/ottawa-police-investigating-defacing-of-mosque-1.3782101,,
13,Calgary,Alberta,,,http://www.cbc.ca/news/canada/calgary/nimra-amjat-racist-death-threats-school-trustee-charges-police-1.4510339,,
14,,Saskatchewan,,,http://nationalpost.com/news/canada/scared-how-bad-it-could-get-racial-tension-hangs-over-sask-as-trial-for-farmer-who-allegedly-killed-indigenous-man-approaches,,
15,Montreal,Quebec,,,http://www.cbc.ca/news/canada/montreal/crarr-charges-breathalyzer-1.4519263,,
16,Timmins,Ontario,,,http://www.cbc.ca/news/canada/sudbury/timmins-indigenous-deaths-police-investigation-1.4524090,,
17,Regina,Saskatchewan,,,http://leaderpost.com/news/local-news/afn-chief-perry-bellegarde-calls-for-national-strategy-to-address-racism-following-stanley-verdict,,
18,Ajax ,Ontario,,,http://www.cbc.ca/news/canada/toronto/white-high-school-teacher-do-rag-black-history-month-ajax-1.4527186,,
19,Toronto,Ontario,,,https://www.thestar.com/news/crime/2018/02/13/police-investigate-after-leuty-lifeguard-station-in-the-beach-is-tagged.html,,
20,,Saskatchewan,,,https://www.stalbertgazette.com/article/colten-boushies-murder-reminder-racism-canada-20180214,,
21,Montreal,Quebec,,,https://montreal.ctvnews.ca/boushie-case-looms-large-over-indigenous-hearings-in-montreal-1.3799503,,
22,,,Yes,,http://aptnnews.ca/2018/02/15/rcmp-facebook-group-claims-colten-boushie-got-deserved/,,
23,,New Brunswick,,,https://www.cbc.ca/news/canada/new-brunswick/timothy-christie-philosophy-unb-discrimination-1.4539460,,
24,Ottawa,Ontario,,,http://ottawacitizen.com/news/local-news/anti-immigration-groups-at-parliament-hill-protest-demand-apology-from-trudeau,,
25,Labrador,Newfoundland and Labrador,,,https://www.cbc.ca/news/canada/newfoundland-labrador/polar-bear-photo-outrage-pelt-1.4536807,,
26,Ottawa,Ontario,,,https://www.theglobeandmail.com/opinion/as-abdoul-abdis-parent-canada-is-guilty-of-child-neglect/article38000645/,,
27,Fort McMurray,Alberta,,,http://www.cbc.ca/news/canada/edmonton/fort-mcmurray-islamic-centre-graffiti-1.4534316,,
28,Halifax,Nova Scotia,,,http://www.cbc.ca/news/canada/nova-scotia/dalhousie-university-racist-graffiti-halifax-police-1.4551259,,
29,Montreal,Quebec,,,https://montreal.ctvnews.ca/montreal-s-b-nai-brith-office-targeted-in-anti-semitic-letter-1.3817371,,
30,Toronto,Ontario,,,https://www.thestar.com/news/gta/2018/02/24/u-of-t-student-group-says-racial-violence-and-harassment-a-health-and-safety-issue.html,,
31,Ottawa,Ontario,,,https://www.ctvnews.ca/politics/feds-move-to-settle-sexual-misconduct-racism-lawsuits-against-canadian-forces-1.3816231,,
