Incident Category,Gender of Victim(s),Ethnic Community,Black/African/Caribbean,Central Asian,East Asian,Indigenous,Latin American,Middle Eastern,South Asian,Southeast Asian,Identity-Based,Context,Type of Incident
Criminal: Charged,Female,Black/African/Caribbean,Algeria,Afghanistan,China,First Nations,Argentina,Armenia,Bangladesh,Brunei,Anti-2SLGBTQIA+,Educational institute: K-12,Harassment: Racial profiling
Criminal: Not charged,Male,Indigenous,Angola,Iran,Japan,Inuit,Bolivia,Azerbaijan,Bhutan,Cambodia,Sexism,Educational institute: Post-secondary,Harassment: Carding
Criminal: Unknown,Other/Unknown,East Asian,Anguilla,Kazakhstan,Mongolia,Métis,Brazil,Bahrain,India,Indonesia,Xenophobia,Educational institute: Other,Harassment: Other
Non-Criminal,,South Asian,Antigua and Barbuda,Kyrgyzstan,North Korea,,Chile,Cyprus,Maldives,Laos,Religious discrimination: Islamophobia,Environmental racism,Hate speech: Rally/protest
,,Southeast Asian,Aruba,Tajikistan,South Korea,,Colombia,Egypt,Nepal,Malaysia,Religious discrimination: Anti-Semitism,Healthcare/public health,Hate speech: Letter/flyer
,,Central Asian,Bahamas,Turkmenistan,Taiwan,,Costa Rica,Georgia,Pakistan,Myanmar,Religious discrimination: Anti-Sikhism,Online: Social media,Hate speech: Imagery
,,Middle Eastern,Barbados,Uzbekistan,,,Cuba,Iraq,Sri Lanka,Philippines,Religious discrimination: Anti-Hinduism,Online: Other,Hate speech: Other
,,Latin American,Belize,,,,Ecuador,Israel,,Singapore,Religious discrimination: Other,Politics,Vandalism
,,N/A,Benin,,,,El Salvador,Jordan,,Thailand,,Public space,Other
,,,Bermuda,,,,Falkland Islands,Kuwait,,Timor-Leste,,Protective services: Military,
,,,Bonaire,,,,French Guiana,Lebanon,,Vietnam,,Protective services: Peace officers,
,,,Botswana,,,,Guatemala,Libya,,,,Protective services: Police,
,,,British Virgin Islands,,,,Guyana,Oman,,,,Protective services: Security,
,,,Burkina Faso,,,,Honduras,Palestine,,,,Protective services: Other,
,,,Burundi,,,,Mexico,Qatar,,,,Sports: Basketball,
,,,Cabo Verde,,,,Nicaragua,Saudi Arabia,,,,Sports: Football,
,,,Cameroon,,,,Panama,Syria,,,,Sports: Hockey,
,,,Caribbean Netherlands,,,,Paraguay,Turkey,,,,Sports: Other,
,,,Cayman Islands,,,,Peru,United Arab Emirates,,,,Transit,
,,,Central African Republic,,,,Puerto Rico,Yemen,,,,Workplace,
,,,Chad,,,,Uruguay,,,,,,
,,,Comoros,,,,Venezuela,,,,,,
,,,Congo,,,,,,,,,,
,,,Cote d'Ivoire,,,,,,,,,,
,,,Curaçao,,,,,,,,,,
,,,Djibouti,,,,,,,,,,
,,,Dominican Republic,,,,,,,,,,
,,,Equatorial Guinea,,,,,,,,,,
,,,Eritrea,,,,,,,,,,
,,,Eswatini,,,,,,,,,,
,,,Ethiopia,,,,,,,,,,
,,,Gabon,,,,,,,,,,
,,,Gambia,,,,,,,,,,
,,,Ghana,,,,,,,,,,
,,,Grenada,,,,,,,,,,
,,,Guadeloupe,,,,,,,,,,
,,,Guinea,,,,,,,,,,
,,,Guinea-Bissau,,,,,,,,,,
,,,Haiti,,,,,,,,,,
,,,Jamaica,,,,,,,,,,
,,,Kenya,,,,,,,,,,
,,,Lesotho,,,,,,,,,,
,,,Liberia,,,,,,,,,,
,,,Madagascar,,,,,,,,,,
,,,Malawi,,,,,,,,,,
,,,Mali,,,,,,,,,,
,,,Martinique,,,,,,,,,,
,,,Mauritania,,,,,,,,,,
,,,Mauritius,,,,,,,,,,
,,,Montserrat,,,,,,,,,,
,,,Morocco,,,,,,,,,,
,,,Mozambique,,,,,,,,,,
,,,Namibia,,,,,,,,,,
,,,Niger,,,,,,,,,,
,,,Nigeria,,,,,,,,,,
,,,Rwanda,,,,,,,,,,
,,,Saint Kitts and Nevis,,,,,,,,,,
,,,Saint Lucia,,,,,,,,,,
,,,Saint Martin,,,,,,,,,,
,,,Saint Pierre and Miquelon,,,,,,,,,,
,,,Saint Vincent,,,,,,,,,,
,,,Saint-Barthélemy,,,,,,,,,,
,,,Sao Tome and Principe,,,,,,,,,,
,,,Senegal,,,,,,,,,,
,,,Seychelles,,,,,,,,,,
,,,Sierra Leone,,,,,,,,,,
,,,Somalia,,,,,,,,,,
,,,South Africa,,,,,,,,,,
,,,South Sudan,,,,,,,,,,
,,,St. Maarten,,,,,,,,,,
,,,Sudan,,,,,,,,,,
,,,Suriname,,,,,,,,,,
,,,Tanzania,,,,,,,,,,
,,,Togo,,,,,,,,,,
,,,Trinidad and Tobago,,,,,,,,,,
,,,Tunisia,,,,,,,,,,
,,,Turks and Caicos,,,,,,,,,,
,,,Uganda,,,,,,,,,,
,,,United States Virgin Islands,,,,,,,,,,
,,,Zambia,,,,,,,,,,
,,,Zimbabwe,,,,,,,,,,
