Incident ID,Article URL,Incident Description,Incident Date,Province,City or Region,Detailed Location,Incident Category,Gender of Victim(s),Name of Victim(s),Ethnic Community,Black/African/Caribbean,Central Asian,East Asian,Indigenous,Latin American,Middle Eastern,South Asian,Southeast Asian,Identity-Based,Context,Type of Incident,Notes
1,https://globalnews.ca/news/3949365/b-c-woman-captures-racist-rant-against-her-on-viral-video/amp/?__twitter_impression=true,"B.C. woman caught on video delivering racist rant suffers from mental illness, family says",2018-01-05,British Columbia,Burnaby,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,,,Hate speech: Other,
2,https://www.cbc.ca/news/canada/windsor/graffiti-widsor-muslim-windsor-1.4472166,Windsor Muslims pen letter asking police why Islamic-themed graffiti is not a hate crime,2018-01-03,Ontario,Windsor,,Non-Criminal,Female,,Black/African/Caribbean,Mauritania,,,,,,,,Religious discrimination: Islamophobia,,Vandalism,
3,https://nationalpost.com/news/politics/sen-lynn-beyak-removed-from-tory-caucus-over-racist-post-on-website-scheer,Sen. Lynn Beyak booted from Conservative caucus over ’racist’ post on website,2018-01-04,Ontario,Ottawa,,Non-Criminal,"Female, Male",,Indigenous,,,,First Nations,,,,,,Online: Other,Hate speech: Other,
4,https://www.cbc.ca/news/canada/calgary/judge-eidsvik-apology-remarks-racism-reaction-1.4478530,Lawyers question fairness of Calgary judge accused of racist remarks,2018-01-09,Alberta,Calgary,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,Anti-2SLGBTQIA+,Educational institute: K-12,Hate speech: Other,
5,http://nationalpost.com/news/canada/p-e-i-legion-to-apologize-after-sikh-man-reportedly-asked-to-remove-headdress,P.E.I. legion to apologize after video shows woman threatening to 'rip' off Sikh man's patka,2018-01-20,Prince Edward Island,Tignish,,Non-Criminal,"Female, Male",,South Asian,,,,,,,India,,Religious discrimination: Anti-Sikhism,Environmental racism,Harassment: Other,
6,https://www.cbc.ca/news/canada/new-brunswick/university-of-new-brunswick-racist-posters-1.4489872,White nationalist group says more racist posters coming to UNB,2018-01-16,New Brunswick,,,Non-Criminal,,,Latin American,,,,,Falkland Islands,,,,,,Hate speech: Rally/protest,
7,https://www.ctvnews.ca/canada/swastikas-drawn-on-snowy-cars-in-toronto-police-investigating-1.3758393,Swastikas drawn on snowy cars in Toronto; police investigating,2018-01-13,Ontario,Toronto,,Non-Criminal,,,"Black/African/Caribbean, Indigenous",Nigeria,,,First Nations,,,,,Religious discrimination: Anti-Semitism,Environmental racism,Vandalism,
8,http://www.cbc.ca/news/canada/nova-scotia/petition-calls-for-acadia-professor-to-be-fired-twitter-1.4487142,Petition calls for Acadia prof to be fired for social media posts,2018-01-15,Nova Scotia,,,Non-Criminal,"Female, Male",,Indigenous,,,,First Nations,,,,,Religious discrimination: Other,Online: Social media,,
9,https://www.rawstory.com/2018/01/hate-rag-editor-promotes-hitler-fan-club-in-new-issue-despite-lawsuits-mail-ban-and-hate-speech-charge/,"Hate rag’ editor promotes Hitler Fan Club in new issue — despite lawsuits, mail ban and hate speech charge",2018-01-12,Ontario,Toronto,,Non-Criminal,,,Central Asian,,Afghanistan,,,,,,,"Religious discrimination: Anti-Semitism, Religious discrimination: Islamophobia",Protective services: Military,,
10,http://www.wnd.com/2018/01/journalist-i-was-fired-for-criticizing-islam/,"Journalist: I was fired for criticizing Islam
Read more at https://www.wnd.com/2018/01/journalist-i-was-fired-for-criticizing-islam/#IurES5PuwI3r7E83.99",2018-01-12,Ontario,Ottawa,,Non-Criminal,Other/Unknown,,East Asian,,,Japan,,,,,,Religious discrimination: Islamophobia,Workplace,,
11,http://www.huffingtonpost.ca/2018/02/01/the-baron-editor-in-chief-anna-de-luca-fired-over-articles-featuring-white-nationalist_a_23350313/,The Baron Editor-In-Chief Anna De Luca Fired Over Articles Featuring White Nationalist,2018-02-02,New Brunswick,Fredericton,,Non-Criminal,,,Southeast Asian,,,,,,,,,,,Hate speech: Other,
12,https://www.ctvnews.ca/canada/ottawa-police-investigating-defacing-of-mosque-1.3782101,Ottawa police investigating defacing of mosque,2018-01-30,Ontario,Ottawa,,Criminal: Unknown,,,Latin American,,,,,,,,,Religious discrimination: Islamophobia,,Vandalism,
