Previous Tag,Ethnic Community,Black/African/Caribbean,Central Asian,East Asian,Indigenous,Latin American,Middle Eastern,South Asian,Southeast Asian,Identity-Based,Context,Type of Incident
allegations,,,,,,,,,,,,
allegations against police,,,,,,,,,,,Protective services: Police,
anti-afghan,Central Asian,,Afghanistan,,,,,,,,,
anti-african,Black/African/Caribbean,,,,,,,,,,,
anti-arab,Middle Eastern,,,,,,,,,,,
anti-asian,,,,,,,,,,,,
anti-black,Black/African/Caribbean,,,,,,,,,,,
anti-chinese,East Asian,,,China,,,,,,,,
anti-christian,,,,,,,,,,,,
anti-discrimination,,,,,,,,,,,,
anti-filipino,Southeast Asian,,,,,,,,Philippines,,,
anti-francophone,,,,,,,,,,,,
anti-immigration,,,,,,,,,,Xenophobia,,
anti-indian,South Asian,,,,,,,India,,,,
anti-indigenous,Indigenous,,,,,,,,,,,
anti-iranian,Central Asian,,Iran,,,,,,,,,
anti-islam,,,,,,,,,,Religious discrimination: Islamophobia,,
anti-israel,Middle Eastern,,,,,,Israel,,,,,
anti-latin,Latin American,,,,,,,,,,,
anti-lgbtq2s+,,,,,,,,,,Anti-2SLGBTQIA+,,
anti-mexican,Latin American,,,,,Mexico,,,,,,
anti-middle eastern,Middle Eastern,,,,,,,,,,,
anti-muslim,,,,,,,,,,Religious discrimination: Islamophobia,,
anti-pakistani,South Asian,,,,,,,Pakistan,,,,
anti-palestinian,Middle Eastern,,,,,,Palestine,,,,,
anti-poc,,,,,,,,,,,,
anti-racism,,,,,,,,,,,,
anti-semitic,,,,,,,,,,Religious discrimination: Anti-Semitism,,
anti-sikh,,,,,,,,,,Religious discrimination: Anti-Sikhism,,
anti-south asian,South Asian,,,,,,,,,,,
anti-syrian,Middle Eastern,,,,,,Syria,,,,,
anti-taiwanese,East Asian,,,Taiwan,,,,,,,,
anti-white,,,,,,,,,,,,
appeal court decision,,,,,,,,,,,,
arson,,,,,,,,,,,,
assault,,,,,,,,,,,,
charged with mischief and causing disturbance,,,,,,,,,,,,
class action lawsuit,,,,,,,,,,,,
complaint police ethics board,,,,,,,,,,,Protective services: Police,
constitutional challenge,,,,,,,,,,,,
court case,,,,,,,,,,,,
cultural appropriation,,,,,,,,,,,,
defamation,,,,,,,,,,,,
disciplinary hearing,,,,,,,,,,,,
discrimination,,,,,,,,,,,,
discrimination at work,,,,,,,,,,,,
environmental racism,,,,,,,,,,,Environmental racism,
false allegations of being a victim of racist threats,,,,,,,,,,,,
first degree murder,,,,,,,,,,,,
forgery charges,,,,,,,,,,,,
gendered,,,,,,,,,,Sexism,,
harassment,,,,,,,,,,,,Harassment: Other
hate crime,,,,,,,,,,,,
hate crime (assault),,,,,,,,,,,,
hate event,,,,,,,,,,,,Hate speech: Other
hate speech,,,,,,,,,,,,Hate speech: Other
hate speech (branding),,,,,,,,,,,,Hate speech: Other
homophobia,,,,,,,,,,Anti-2SLGBTQIA+,,
however victim didn’t file a charge,,,,,,,,,,,,
hr complaint,,,,,,,,,,,,
hr investigation,,,,,,,,,,,,
human rights,,,,,,,,,,,,
human rights case,,,,,,,,,,,,
human rights complaint,,,,,,,,,,,,
human rights tribunal,,,,,,,,,,,,
human rights tribunal of ontario,,,,,,,,,,,,
inquiry,,,,,,,,,,,,
intellectual property,,,,,,,,,,,,
internal investigation,,,,,,,,,,,,
investigation,,,,,,,,,,,,
law,,,,,,,,,,,,
lawsuit,,,,,,,,,,,,
legal action,,,,,,,,,,,,
legislation,,,,,,,,,,,,
military investigation,,,,,,,,,,,Protective services: Military,
murder,,,,,,,,,,,,
nc investigation,,,,,,,,,,,,
not charged,,,,,,,,,,,,
open investigation,,,,,,,,,,,,
other (antifa),,,,,,,,,,,,
peace bond,,,,,,,,,,,,
pending charge,,,,,,,,,,,,
pending lawsuit,,,,,,,,,,,,
pending litigation,,,,,,,,,,,,
police complaint,,,,,,,,,,,Protective services: Police,
police investigation,,,,,,,,,,,,
policy,,,,,,,,,,,,
political,,,,,,,,,,,Politics,
political campaign,,,,,,,,,,,Politics,
profiled,,,,,,,,,,,,Harassment: Racial profiling
protest,,,,,,,,,,,,
public hearing,,,,,,,,,,,,
quebec human rights and youth rights commission,,,,,,,,,,,,
quebec human rights commission,,,,,,,,,,,,
race relations,,,,,,,,,,,,
race relations rally,,,,,,,,,,,,
racial allegations,,,,,,,,,,,,
racial profiling,,,,,,,,,,,,Harassment: Racial profiling
racial training,,,,,,,,,,,,
rally,,,,,,,,,,,,
rcmp investigation,,,,,,,,,,,,
robbery,,,,,,,,,,,,
settlement,,,,,,,,,,,,
sexist,,,,,,,,,,Sexism,,
terror,,,,,,,,,,,,
threats,,,,,,,,,,,,
transphobia,,,,,,,,,,Anti-2SLGBTQIA+,,
vandalism,,,,,,,,,,,,Vandalism
violates international law (un),,,,,,,,,,,,
white supremacists,,,,,,,,,,,,
