incident_id,article_url,publish_date
1,https://globalnews.ca/news/3949365/b-c-woman-captures-racist-rant-against-her-on-viral-video/amp/?__twitter_impression=true,"January 5, 2018"
2,https://www.cbc.ca/news/canada/windsor/graffiti-widsor-muslim-windsor-1.4472166,"Jan 03, 2018"
3,https://nationalpost.com/news/politics/sen-lynn-beyak-removed-from-tory-caucus-over-racist-post-on-website-scheer,"Jan 05, 2018"
4,https://www.cbc.ca/news/canada/calgary/judge-eidsvik-apology-remarks-racism-reaction-1.4478530,"Jan 09, 2018"
5,http://nationalpost.com/news/canada/p-e-i-legion-to-apologize-after-sikh-man-reportedly-asked-to-remove-headdress,"Jan 20, 2018"
6,https://www.cbc.ca/news/canada/new-brunswick/university-of-new-brunswick-racist-posters-1.4489872,"Jan 19, 2018"
7,https://www.ctvnews.ca/canada/swastikas-drawn-on-snowy-cars-in-toronto-police-investigating-1.3758393,"January 13, 2018"
8,http://www.cbc.ca/news/canada/nova-scotia/petition-calls-for-acadia-professor-to-be-fired-twitter-1.4487142,"Jan 15, 2018"
9,https://www.rawstory.com/2018/01/hate-rag-editor-promotes-hitler-fan-club-in-new-issue-despite-lawsuits-mail-ban-and-hate-speech-charge/,
10,http://www.wnd.com/2018/01/journalist-i-was-fired-for-criticizing-islam/,"January 12, 2018"
11,http://www.huffingtonpost.ca/2018/02/01/the-baron-editor-in-chief-anna-de-luca-fired-over-articles-featuring-white-nationalist_a_23350313/,
12,https://www.ctvnews.ca/canada/ottawa-police-investigating-defacing-of-mosque-1.3782101,"January 30, 2018"
13,http://www.cbc.ca/news/canada/calgary/nimra-amjat-racist-death-threats-school-trustee-charges-police-1.4510339,"Jan 30, 2018"
14,http://nationalpost.com/news/canada/scared-how-bad-it-could-get-racial-tension-hangs-over-sask-as-trial-for-farmer-who-allegedly-killed-indigenous-man-approaches,"Jan 26, 2018"
15,http://www.cbc.ca/news/canada/montreal/crarr-charges-breathalyzer-1.4519263,"Feb 04, 2018"
16,http://www.cbc.ca/news/canada/sudbury/timmins-indigenous-deaths-police-investigation-1.4524090,"Feb 07, 2018"
17,http://leaderpost.com/news/local-news/afn-chief-perry-bellegarde-calls-for-national-strategy-to-address-racism-following-stanley-verdict,"Feb 11, 2018"
18,http://www.cbc.ca/news/canada/toronto/white-high-school-teacher-do-rag-black-history-month-ajax-1.4527186,"Feb 08, 2018"
19,https://www.thestar.com/news/crime/2018/02/13/police-investigate-after-leuty-lifeguard-station-in-the-beach-is-tagged.html,
20,https://www.stalbertgazette.com/article/colten-boushies-murder-reminder-racism-canada-20180214,"Feb 14, 2018"
21,https://montreal.ctvnews.ca/boushie-case-looms-large-over-indigenous-hearings-in-montreal-1.3799503,"February 12, 2018"
22,http://aptnnews.ca/2018/02/15/rcmp-facebook-group-claims-colten-boushie-got-deserved/,"Feb 15, 2018"
23,https://www.cbc.ca/news/canada/new-brunswick/timothy-christie-philosophy-unb-discrimination-1.4539460,"Feb 20, 2018"
