Incident ID,Article URL,Incident Description,Publication Date,Incident Date,Pub Date Minus Incident Date,Province,City or Region,Detailed Location,Incident Category,Gender of Victim(s),Name of Victim(s),Ethnic Community,Black/African/Caribbean,Central Asian,East Asian,Indigenous,Latin American,Middle Eastern,South Asian,Southeast Asian,Identity-Based,Context,Type of Incident,Previous Tags,Needs Review,D4G Notes,CCMF Notes,Status
169,https://www.cbc.ca/news/canada/british-columbia/agassiz-rcmp-fishermen-harassment-1.4803129,RCMP are looking for a group of fishermen accused of harassing two Indigenous women and their children,2018-08-29,2018-08-29,0,British Columbia,Hope,,Criminal: Unknown,,,Indigenous,,,,,,,,,,,,"C; race relations; anti-indigenous; Fraser River, BC",Check city,"Location originally listed as Fraser River, which isn't a city and might be difficult to map. Article describes location as between the cities of Hope and Yale.",,
831,https://www.theglobeandmail.com/politics/article-disqualified-conservative-leadership-candidate-sues-party-to-re-enter/,"Conservative leadership candidate, who was disqualified for racist comments, sues party to re-enter race",2020-03-24,2020-03-24,0,Ontario,Cambridge,,Non-Criminal,,,,,,,,,,,,Religious discrimination: Islamophobia,Politics,,NC; political; anti-muslim; Cambridge,Check city,No mention of the city of Cambridge in the article.,,
880,https://www.cheknews.ca/new-video-protesters-push-plywood-at-truck-going-through-wetsuweten-highway-19-blockade-645649/,Video emerges of truck going through Wet’suwet’en Highway 19 blockade,,2020-02-11,,British Columbia,Courtenay,,Non-Criminal,,,Indigenous,,,,,,,,,,Politics,,NC; political ; protest ; allegations; anti-indigenous ; white supremacist; Wet’suwet’en,Check city,Location originally listed as Wet'suwet'en but article describes the location as being near Courtenay (on the Vancouver Island).,,
34,https://www.cbc.ca/news/canada/thunder-bay/thunder-bay-egg-throwing-investigation-1.4555840,Thunder Bay police investigate alleged racial violence after eggs thrown at pedestrians,2018-02-28,2019-02-28,-365,Ontario,Thunder Bay,,Criminal: Unknown,,,Indigenous,,,,,,,,,,,,C; hate crime; anti-indigenous; Thunder Bay,Check date,Date could not be parsed or listed date is inconsistent with year in original sheet name,,
39,https://www.cbc.ca/news/business/air-canada-human-rights-complaint-attendants-1.4568517,"Air Canada’s Flight Attendant Union Files Human RIghts Complaint, alleging sexual, racial discrimination",2018-03-08,2019-03-08,-365,Ontario,Ottawa,,,,,,,,,,,,,,,,,Human Rights Complaint; race relations; Ottawa,Check date,Date could not be parsed or listed date is inconsistent with year in original sheet name,,
179,https://www.scmp.com/news/world/united-states-canada/article/2164336/protests-and-fears-anti-immigrant-backlash-marrisa,"Marrisa Shen’s accused killer appears in Vancouver court, sparking protests and fears of anti-immigrant backlash",,2019-09-15,,British Columbia,Vancouver,,Criminal: Unknown,,,,,,,,,,,,Xenophobia,,,C; race relations; anti-immigration; Vancouver,Check date,Date could not be parsed or listed date is inconsistent with year in original sheet name,,
182,https://www.cbc.ca/news/canada/montreal/legault-says-woman-claiming-immigrants-are-erasing-quebec-was-close-to-racist-1.4843602,,2018-09-28,2019-09-28,-365,Quebec,Montreal,,,,,,,,,,,,,,Xenophobia,Politics,,political campaign; race relations; anti-immigration; Montreal,Check date,Date could not be parsed or listed date is inconsistent with year in original sheet name,,
263,https://www.cbc.ca/news/canada/british-columbia/lord-byng-racist-threat-school-parents-1.5628913,"Racist student video reinvestigated, following complaints original sanctions were inadequate",2020-06-26,,,British Columbia,Vancouver,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,,,Hate speech: Other,NC; hate speech; anti-black; Vancouver,Check date,Date could not be parsed or listed date is inconsistent with year in original sheet name,,
629,https://www.cbc.ca/news/canada/london/london-family-house-egged-1.5407240,London family fearful after house gets egged for third time,2019-12-24,2020-01-02,-9,Ontario,London,,Non-Criminal,,,South Asian,,,,,,,,,,,Vandalism,NC; allegations ; vandalism; anti-south asian; London,Check date,Date could not be parsed or listed date is inconsistent with year in original sheet name,,
630,https://www.cbc.ca/news/canada/montreal/kenrick-mcrae-quebec-police-ethics-committeee-1.5407049,"Black man's arrest was unlawful and racially motivated, Quebec's police ethics committee rules",2019-12-23,2020-01-03,-11,Quebec,Montreal,,,,,Black/African/Caribbean,,,,,,,,,,,Harassment: Racial profiling,HR investigation; profiled ; human rights; anti-black; Montreal,Check date,Date could not be parsed or listed date is inconsistent with year in original sheet name,,
56,"https://thegrio.com/2018/03/29/black-woman-politician-canada-racist/
https://www.huffingtonpost.ca/2018/03/27/celina-caesar-chavannes-supporters-share-appreciation-for-mp-with-hereforcelina_a_23397067/","Conservative Canadian media attack Black woman politician, accuse her of being racist",2018-03-29,2018-03-28,1,Ontario,Ottawa,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,,,,NC; race relations; anti-black; Ottawa,Invalid Article URL,Multiple URLs listed - remove extras so there is only one for this incident,,
139,"https://www.israelnationalnews.com/News/News.aspx/250078 
https://globalnews.ca/news/4373431/edmonton-swastika-graffiti-rally-rachel-notley/",Anti-Semitic graffiti discovered in Edmonton,,2018-08-16,,Alberta,Edmonton,,,,,,,,,,,,,,Religious discrimination: Anti-Semitism,,Vandalism,Police investigation; vandalism; anti-semitic; Edmonton,Invalid Article URL,Multiple URLs listed - remove extras so there is only one for this incident,,
140,"https://thinkpol.ca/2018/08/05/two-women-arrested-for-inciting-hate-speech-against-indigenous-canadians-on-social-media/ 

https://www.thestar.com/news/canada/2018/07/31/two-manitoba-women-charged-with-inciting-hatred-against-indigenous-people-on-facebook.html",Two women arrested for inciting hate speech against Indigenous Canadians on social media,2018-08-05,2018-07-31,5,Manitoba,Flin Flon,,Criminal: Unknown,,,Indigenous,,,,,,,,,,Online: Social media,Hate speech: Other,"C; hate speech; anti-indigenous; Flin Flon, MB",Invalid Article URL,Multiple URLs listed - remove extras so there is only one for this incident,,
142,https://nextshark.com/crazy-rich-asians-poster-vandalized-racist-comments-vancouver-nothing-will-shake-us-says-director/ https://bc.ctvnews.ca/poster-for-crazy-rich-asians-movie-defaced-with-racist-graffiti-1.4043367,"‘Crazy Rich Asians’ Poster Vandalized With Racist Comments in Vancouver, ‘Nothing Will Shake Us’ Says Director",,2018-08-02,,British Columbia,Vancouver,,Non-Criminal,,,,,,,,,,,,,,Vandalism,NC; race relations/vandalism; anti-asian; Vancouver,Invalid Article URL,Multiple URLs listed - remove extras so there is only one for this incident,,
