incident_id,date,location,category,sub_category,target_community,description,article_url,year,orig_sheet_name,orig_row_num
1,2018-01-05,Burnaby,NC,hate speech,anti-black,"B.C. woman caught on video delivering racist rant suffers from mental illness, family says",https://globalnews.ca/news/3949365/b-c-woman-captures-racist-rant-against-her-on-viral-video/amp/?__twitter_impression=true,2018.0,2018 collection,3
2,2018-01-03,Windsor,NC,vandalism,anti-muslim,Windsor Muslims pen letter asking police why Islamic-themed graffiti is not a hate crime,https://www.cbc.ca/news/canada/windsor/graffiti-widsor-muslim-windsor-1.4472166,2018.0,2018 collection,4
3,2018-01-04,Ottawa,NC,hate speech,anti-indigenous,Sen. Lynn Beyak booted from Conservative caucus over ’racist’ post on website,https://nationalpost.com/news/politics/sen-lynn-beyak-removed-from-tory-caucus-over-racist-post-on-website-scheer,2018.0,2018 collection,5
4,2018-01-09,Calgary,NC,hate speech,anti-black,Lawyers question fairness of Calgary judge accused of racist remarks,https://www.cbc.ca/news/canada/calgary/judge-eidsvik-apology-remarks-racism-reaction-1.4478530,2018.0,2018 collection,6
5,2018-01-20,Tignish,NC,harassment,anti-sikh/indian,P.E.I. legion to apologize after video shows woman threatening to 'rip' off Sikh man's patka,http://nationalpost.com/news/canada/p-e-i-legion-to-apologize-after-sikh-man-reportedly-asked-to-remove-headdress,2018.0,2018 collection,7
6,2018-01-16,New Brunswick,NC,race relations,white supremasists,White nationalist group says more racist posters coming to UNB,https://www.cbc.ca/news/canada/new-brunswick/university-of-new-brunswick-racist-posters-1.4489872,2018.0,2018 collection,8
7,2018-01-13,Toronto,NC,race relations,anti-semitism,Swastikas drawn on snowy cars in Toronto; police investigating,https://www.ctvnews.ca/canada/swastikas-drawn-on-snowy-cars-in-toronto-police-investigating-1.3758393,2018.0,2018 collection,9
8,2018-01-15,Nova Scotia,NC,race relations,anti-indigenous,Petition calls for Acadia prof to be fired for social media posts,http://www.cbc.ca/news/canada/nova-scotia/petition-calls-for-acadia-professor-to-be-fired-twitter-1.4487142,2018.0,2018 collection,10
9,2018-01-12,Toronto,NC,race relations,white supremasists,"Hate rag’ editor promotes Hitler Fan Club in new issue — despite lawsuits, mail ban and hate speech charge",https://www.rawstory.com/2018/01/hate-rag-editor-promotes-hitler-fan-club-in-new-issue-despite-lawsuits-mail-ban-and-hate-speech-charge/,2018.0,2018 collection,11
10,2018-01-12,Ottawa,NC,race relations,anti-muslim,"Journalist: I was fired for criticizing Islam
Read more at https://www.wnd.com/2018/01/journalist-i-was-fired-for-criticizing-islam/#IurES5PuwI3r7E83.99",http://www.wnd.com/2018/01/journalist-i-was-fired-for-criticizing-islam/,2018.0,2018 collection,12
11,2018-02-02,Fredericton,NC,hate speech,white supremasists,The Baron Editor-In-Chief Anna De Luca Fired Over Articles Featuring White Nationalist,http://www.huffingtonpost.ca/2018/02/01/the-baron-editor-in-chief-anna-de-luca-fired-over-articles-featuring-white-nationalist_a_23350313/,2018.0,2018 collection,13
12,2018-01-30,Ottawa,Police investigation,hate crime/vandalism,anti muslim,Ottawa police investigating defacing of mosque,https://www.ctvnews.ca/canada/ottawa-police-investigating-defacing-of-mosque-1.3782101,2018.0,2018 collection,14
13,2018-01-30,Calgary,C,false alligations of being a victim of racits threats,,Failed school trustee candidate who claimed to be victim of racist death threats charged under Election Act,http://www.cbc.ca/news/canada/calgary/nimra-amjat-racist-death-threats-school-trustee-charges-police-1.4510339,2018.0,2018 collection,15
14,2018-01-26,Saskatchewan,NC,race relations,ant-indigenous,Racial tension hangs over Sask. as trial for farmer who allegedly killed Indigenous man looms,http://nationalpost.com/news/canada/scared-how-bad-it-could-get-racial-tension-hangs-over-sask-as-trial-for-farmer-who-allegedly-killed-indigenous-man-approaches,2018.0,2018 collection,16
15,2018-02-04,Montreal,C,race relations,anti-black,"Man charged for refusing breathalyzer test, claims Montreal police racially profiled him",http://www.cbc.ca/news/canada/montreal/crarr-charges-breathalyzer-1.4519263,2018.0,2018 collection,17
16,2018-02-07,Timmins,NC,race relations,anti-indigenous,Timmins mayor calls out 'racist' and anti-police comments following weekend deaths,http://www.cbc.ca/news/canada/sudbury/timmins-indigenous-deaths-police-investigation-1.4524090,2018.0,2018 collection,18
17,2018-02-09,Regina,C,race relations,anti-indigenous,AFN Chief Perry Bellegarde calls for national strategy to address racism following Stanley verdict,http://leaderpost.com/news/local-news/afn-chief-perry-bellegarde-calls-for-national-strategy-to-address-racism-following-stanley-verdict,2018.0,2018 collection,19
18,2018-02-08,Ajax (Ontario),NC,race relations,anti-black,"Student, mother 'shocked' after white teacher wears do-rag for Black History Month school event",http://www.cbc.ca/news/canada/toronto/white-high-school-teacher-do-rag-black-history-month-ajax-1.4527186,2018.0,2018 collection,20
19,2018-02-13,Toronto,Police investigation,hate crime/vandalism,"anti-semitic, anti-black","Police investigate after Beach landmark tagged with anti-Semitic, anti-Black graffiti",https://www.thestar.com/news/crime/2018/02/13/police-investigate-after-leuty-lifeguard-station-in-the-beach-is-tagged.html,2018.0,2018 collection,21
20,2018-02-06,Saskatchewan,C,murder,anti-indigenous,Reaction to Boushie case a reminder of racism in Canada,https://www.stalbertgazette.com/article/colten-boushies-murder-reminder-racism-canada-20180214,2018.0,2018 collection,22
21,2018-02-12,Montreal,Public hearing,race relations,anti-indigenous,Boushie case looms large over indigenous hearings in Montreal,https://montreal.ctvnews.ca/boushie-case-looms-large-over-indigenous-hearings-in-montreal-1.3799503,2018.0,2018 collection,23
22,2018-02-15,online,NC,hate speech,anti-indigenous,RCMP Facebook group claims Colten Boushie ‘got what he deserved’,http://aptnnews.ca/2018/02/15/rcmp-facebook-group-claims-colten-boushie-got-deserved/,2018.0,2018 collection,24
23,2018-02-20,New Brunswick,NC,Human Rights Complaint,anti-black,"Longtime UNB lecturer alleges racism after being passed over for job
Social Sharing",https://www.cbc.ca/news/canada/new-brunswick/timothy-christie-philosophy-unb-discrimination-1.4539460,2018.0,2018 collection,25
24,2018-02-19,Ottawa,NC,race relations,"anti-muslim, anti-immigration",Anti-immigration groups at Parliament Hill protest demand apology from Trudeau,http://ottawacitizen.com/news/local-news/anti-immigration-groups-at-parliament-hill-protest-demand-apology-from-trudeau,2018.0,2018 collection,26
25,2018-02-15,Labrador,NC,race relations,anti-indigenous,"Photo of legally hunted polar bear draws social media outrage, racist comments
Social Sharing",https://www.cbc.ca/news/canada/newfoundland-labrador/polar-bear-photo-outrage-pelt-1.4536807,2018.0,2018 collection,27
26,2018-02-15,Ottawa,NC,Constitutional challenge,not specified,"As Abdoul Abdi’s parent, Canada is guilty of child neglect",https://www.theglobeandmail.com/opinion/as-abdoul-abdis-parent-canada-is-guilty-of-child-neglect/article38000645/,2018.0,2018 collection,28
27,2018-02-14,Fort McMurray,C,vandalism,anti-muslim,Sign outside Fort McMurray Islamic centre defaced,http://www.cbc.ca/news/canada/edmonton/fort-mcmurray-islamic-centre-graffiti-1.4534316,2018.0,2018 collection,29
28,2018-02-23,Halifax,NC,vandalism,anti-black,Dal president responds to 'abhorrent' racist graffiti found on campus,http://www.cbc.ca/news/canada/nova-scotia/dalhousie-university-racist-graffiti-halifax-police-1.4551259,2018.0,2018 collection,30
29,2018-02-23,Montreal,NC,hate crime,anti-semitic,Montreal's B'nai Brith office targeted in anti-semitic letter,https://montreal.ctvnews.ca/montreal-s-b-nai-brith-office-targeted-in-anti-semitic-letter-1.3817371,2018.0,2018 collection,31
30,2018-02-24,Toronto,NC,race relations,not specified,U of T student group says racial violence and harassment a health and safety issue,https://www.thestar.com/news/gta/2018/02/24/u-of-t-student-group-says-racial-violence-and-harassment-a-health-and-safety-issue.html,2018.0,2018 collection,32
31,2018-02-23,Ottawa,Class action lawsuit,race relations,not specified,"Feds move to settle sexual misconduct, racism lawsuits against Canadian Forces",https://www.ctvnews.ca/politics/feds-move-to-settle-sexual-misconduct-racism-lawsuits-against-canadian-forces-1.3816231,2018.0,2018 collection,33
