type,name,population_centre_size_group,population_centre_type,province,prov_code,location_label,geocode_query,population_2016
Province,Alberta,,,Alberta,AB,Alberta,"AB, Canada",4067175
Province,British Columbia,,,British Columbia,BC,British Columbia,"BC, Canada",4648055
Province,Manitoba,,,Manitoba,MB,Manitoba,"MB, Canada",1278365
Province,New Brunswick,,,New Brunswick,NB,New Brunswick,"NB, Canada",747101
Province,Newfoundland and Labrador,,,Newfoundland and Labrador,NL,Newfoundland and Labrador,"NL, Canada",519716
Province,Northwest Territories,,,Northwest Territories,NT,Northwest Territories,"NT, Canada",41786
Province,Nova Scotia,,,Nova Scotia,NS,Nova Scotia,"NS, Canada",923598
Province,Nunavut,,,Nunavut,NU,Nunavut,"NU, Canada",35944
Province,Ontario,,,Ontario,ON,Ontario,"ON, Canada",13448494
Province,Prince Edward Island,,,Prince Edward Island,PE,Prince Edward Island,"PE, Canada",142907
Province,Quebec,,,Quebec,QC,Quebec,"QC, Canada",8164361
Province,Saskatchewan,,,Saskatchewan,SK,Saskatchewan,"SK, Canada",1098352
Province,Yukon,,,Yukon,YT,Yukon,"YT, Canada",35874
Population centre,Airdrie,"Medium population centre (30,000 to 99,999)",Secondary core,Alberta,AB,"Airdrie, AB","Airdrie, AB, Canada",61082
Population centre,Alberta Beach - Val Quentin,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Alberta Beach - Val Quentin, AB","Alberta Beach - Val Quentin, AB, Canada",1204
Population centre,Athabasca,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Athabasca, AB","Athabasca, AB, Canada",1250
Population centre,Banff,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Banff, AB","Banff, AB, Canada",7851
Population centre,Barrhead,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Barrhead, AB","Barrhead, AB, Canada",4387
Population centre,Bassano,"Small population centre (1,000 to 29,999)",Fringe,Alberta,AB,"Bassano, AB","Bassano, AB, Canada",1196
Population centre,Beaumont,"Small population centre (1,000 to 29,999)",Secondary core,Alberta,AB,"Beaumont, AB","Beaumont, AB, Canada",17396
Population centre,Beaverlodge,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Beaverlodge, AB","Beaverlodge, AB, Canada",2327
Population centre,Bentley,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Bentley, AB","Bentley, AB, Canada",1027
Population centre,Black Diamond,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Black Diamond, AB","Black Diamond, AB, Canada",2552
Population centre,Blackfalds,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Blackfalds, AB","Blackfalds, AB, Canada",8749
Population centre,Blairmore,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Blairmore, AB","Blairmore, AB, Canada",1545
Population centre,Bon Accord,"Small population centre (1,000 to 29,999)",Fringe,Alberta,AB,"Bon Accord, AB","Bon Accord, AB, Canada",1529
Population centre,Bonnyville,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Bonnyville, AB","Bonnyville, AB, Canada",5081
Population centre,Bow Island,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Bow Island, AB","Bow Island, AB, Canada",1773
Population centre,Bowden,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Bowden, AB","Bowden, AB, Canada",1240
Population centre,Brooks,"Small population centre (1,000 to 29,999)",Core,Alberta,AB,"Brooks, AB","Brooks, AB, Canada",14436
Population centre,Calgary,"Large urban population centre (100,000 or more)",Core,Alberta,AB,"Calgary, AB","Calgary, AB, Canada",1237656
Population centre,Calmar,"Small population centre (1,000 to 29,999)",Fringe,Alberta,AB,"Calmar, AB","Calmar, AB, Canada",1849
Population centre,Camrose,"Small population centre (1,000 to 29,999)",Core,Alberta,AB,"Camrose, AB","Camrose, AB, Canada",18520
Population centre,Canmore,"Small population centre (1,000 to 29,999)",Core,Alberta,AB,"Canmore, AB","Canmore, AB, Canada",11764
Population centre,Cardston,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Cardston, AB","Cardston, AB, Canada",3258
Population centre,Carstairs,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Carstairs, AB","Carstairs, AB, Canada",3080
Population centre,Chestermere,"Small population centre (1,000 to 29,999)",Secondary core,Alberta,AB,"Chestermere, AB","Chestermere, AB, Canada",19472
Population centre,Clairmont,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Clairmont, AB","Clairmont, AB, Canada",1922
Population centre,Claresholm,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Claresholm, AB","Claresholm, AB, Canada",3424
Population centre,Coaldale,"Small population centre (1,000 to 29,999)",Fringe,Alberta,AB,"Coaldale, AB","Coaldale, AB, Canada",8153
Population centre,Coalhurst,"Small population centre (1,000 to 29,999)",Fringe,Alberta,AB,"Coalhurst, AB","Coalhurst, AB, Canada",2623
Population centre,Cochrane,"Small population centre (1,000 to 29,999)",Secondary core,Alberta,AB,"Cochrane, AB","Cochrane, AB, Canada",25289
Population centre,Cold Lake,"Small population centre (1,000 to 29,999)",Fringe,Alberta,AB,"Cold Lake, AB","Cold Lake, AB, Canada",6678
Population centre,Coleman,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Coleman, AB","Coleman, AB, Canada",1475
Population centre,Crossfield,"Small population centre (1,000 to 29,999)",Fringe,Alberta,AB,"Crossfield, AB","Crossfield, AB, Canada",2973
Population centre,Devon,"Small population centre (1,000 to 29,999)",Fringe,Alberta,AB,"Devon, AB","Devon, AB, Canada",6578
Population centre,Didsbury,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Didsbury, AB","Didsbury, AB, Canada",5222
Population centre,Drayton Valley,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Drayton Valley, AB","Drayton Valley, AB, Canada",6867
Population centre,Drumheller,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Drumheller, AB","Drumheller, AB, Canada",6439
Population centre,Duchess,"Small population centre (1,000 to 29,999)",Fringe,Alberta,AB,"Duchess, AB","Duchess, AB, Canada",1009
Population centre,Eckville,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Eckville, AB","Eckville, AB, Canada",1085
Population centre,Edmonton,"Large urban population centre (100,000 or more)",Core,Alberta,AB,"Edmonton, AB","Edmonton, AB, Canada",1062643
Population centre,Edson,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Edson, AB","Edson, AB, Canada",8148
Population centre,Elk Point,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Elk Point, AB","Elk Point, AB, Canada",1437
Population centre,Fairview,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Fairview, AB","Fairview, AB, Canada",2598
Population centre,Falher,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Falher, AB","Falher, AB, Canada",1032
Population centre,Fort Macleod,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,AB,"Fort Macleod, AB","Fort Macleod, AB, Canada",2708
